candidate,status,updated_at_utc
C:\jmbaek\ugrp\candidate_assets\records_105\circle\16_erase_the_circle_0727-111340.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\17_erase_the_circle_0727-111813.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\18_erase_the_circle_0727-111943.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\19_erase_the_circle_0727-112133.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\20_erase_the_circle_0727-112529.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\21_erase_the_circle_0802-130542.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\22_erase_the_circle_0802-130825.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\23_erase_the_circle_0802-130939.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\24_erase_the_circle_0802-131058.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\25_erase_the_circle_0802-131216.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\26_erase_the_circle_0802-131420.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\27_erase_the_circle_0802-132022.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\28_erase_the_circle_0802-132211.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\29_erase_the_circle_0802-132330.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\30_erase_the_circle_0802-132443.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\31_erase_the_circle_0802-132838.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\32_erase_the_circle_0802-132954.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\33_erase_the_circle_0802-133231.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\34_erase_the_circle_0802-133354.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\35_erase_the_circle_0802-133505.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\36_erase_the_circle_0802-133624.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\37_erase_the_circle_0802-134056.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\38_erase_the_circle_0802-134312.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\39_erase_the_circle_0802-134917.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\40_erase_the_circle_0802-135033.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\41_erase_the_circle_0802-135317.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\42_erase_the_circle_0802-135438.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\43_erase_the_circle_0802-135558.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\44_erase_the_circle_0802-135800.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\45_erase_the_circle_0802-135912.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\46_erase_the_circle_0802-140037.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\47_erase_the_circle_0802-145406.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\48_erase_the_circle_0805-183247.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\49_erase_the_circle_0805-183402.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\50_erase_the_circle_0805-183515.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\51_erase_the_circle_0805-183623.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\52_erase_the_circle_0805-183739.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\53_erase_the_circle_0805-184029.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\54_erase_the_circle_0805-184141.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\55_erase_the_circle_0805-184247.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\56_erase_the_circle_0805-184359.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\57_erase_the_circle_0805-184700.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\58_erase_the_circle_0805-184814.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\59_erase_the_circle_0805-184920.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\60_erase_the_circle_0805-185025.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\61_erase_the_circle_0805-185133.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\62_erase_the_circle_0805-185457.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\63_erase_the_circle_0811-210132.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\64_erase_the_circle_0811-210236.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\65_erase_the_circle_0811-210340.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\66_erase_the_circle_0811-210449.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\67_erase_the_circle_0811-210646.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\68_erase_the_circle_0811-210755.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\69_erase_the_circle_0811-210901.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\70_erase_the_circle_0811-211009.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\71_erase_the_circle_0811-211403.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\72_erase_the_circle_0811-211510.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\73_erase_the_circle_0811-211620.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\74_erase_the_circle_0811-211826.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\75_erase_the_circle_0811-211952.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\76_erase_the_circle_0811-212055.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\77_erase_the_circle_0811-212311.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\78_erase_the_circle_0811-212601.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\79_erase_the_circle_0812-131127.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\80_erase_the_circle_0812-131648.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\81_erase_the_circle_0812-131859.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\82_erase_the_circle_0812-132039.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\83_erase_the_circle_0812-132142.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\84_erase_the_circle_0812-132245.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\85_erase_the_circle_0812-132453.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\86_erase_the_circle_0812-132727.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\87_erase_the_circle_0812-132832.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\88_erase_the_circle_0812-132935.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\89_erase_the_circle_0812-133036.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\90_erase_the_circle_0812-133146.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\91_erase_the_circle_0812-133256.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\92_erase_the_circle_0812-133357.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\93_erase_the_circle_0812-133507.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\94_erase_the_circle_0812-133610.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\95_erase_the_circle_0812-133842.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\96_erase_the_circle_0812-133948.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\97_erase_the_circle_0812-134055.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\98_erase_the_circle_0812-134159.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\circle\99_erase_the_circle_0813-121528.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\1.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\10.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\100.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\101.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\102.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\103.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\104.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\105.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\11.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\12.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\13.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\14.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\15.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\16.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\17.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\18.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\19.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\2.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\20.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\21.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\22.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\23.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\24.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\25.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\26.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\27.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\28.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\29.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\3.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\30.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\31.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\32.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\33.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\34.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\35.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\36.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\37.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\38.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\39.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\4.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\40.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\41.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\42.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\43.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\44.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\45.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\46.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\47.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\48.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\49.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\5.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\50.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\51.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\52.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\53.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\54.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\55.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\56.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\57.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\58.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\59.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\6.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\60.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\61.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\62.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\63.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\64.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\65.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\66.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\67.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\68.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\69.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\7.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\70.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\71.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\72.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\73.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\74.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\75.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\76.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\77.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\78.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\79.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\8.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\80.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\81.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\82.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\83.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\84.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\85.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\86.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\87.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\88.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\89.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\9.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\90.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\91.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\92.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\93.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\94.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\95.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\96.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\97.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\98.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\99.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\1.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\10.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\100.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\101.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\102.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\103.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\104.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\105.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\11.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\12.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\13.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\14.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\15.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\16.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\17.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\18.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\19.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\2.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\20.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\21.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\22.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\23.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\24.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\25.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\26.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\27.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\28.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\29.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\3.png,good,2026-08-14T12:13:46+00:00
C:\jmbaek\ugrp\candidate_assets\records_105\triangle\30.png,good,2026-08-14T12:13:46+00:00
