asset_path,shape,source_center_x,source_center_y,source_width,source_height,source_x,source_y,manifest
C:\jmbaek\ugrp\candidate_assets\records_105\circle\57_erase_the_circle_0805-184700.png,circle,320.0,139.5,150,151,227,46,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\58_erase_the_circle_0805-184814.png,circle,550.0,518.5,132,143,466,429,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\59_erase_the_circle_0805-184920.png,circle,509.5,128.0,139,136,422,42,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\60_erase_the_circle_0805-185025.png,circle,437.5,544.5,153,159,343,447,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\61_erase_the_circle_0805-185133.png,circle,412.5,80.5,151,153,319,0,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\62_erase_the_circle_0805-185457.png,circle,323.0,114.0,154,154,228,19,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\63_erase_the_circle_0811-210132.png,circle,592.5,473.5,125,127,512,392,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\64_erase_the_circle_0811-210236.png,circle,590.5,114.5,119,115,513,39,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\65_erase_the_circle_0811-210340.png,circle,343.5,122.5,115,107,268,51,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\66_erase_the_circle_0811-210449.png,circle,376.0,492.0,108,114,304,417,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\67_erase_the_circle_0811-210646.png,circle,588.0,457.0,120,124,510,377,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\68_erase_the_circle_0811-210755.png,circle,561.0,149.5,102,95,492,84,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\69_erase_the_circle_0811-210901.png,circle,341.5,131.5,103,111,272,58,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\70_erase_the_circle_0811-211009.png,circle,381.5,509.0,123,110,302,436,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\71_erase_the_circle_0811-211403.png,circle,335.5,107.5,107,109,264,35,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\72_erase_the_circle_0811-211510.png,circle,354.0,579.0,106,100,283,511,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\73_erase_the_circle_0811-211620.png,circle,580.5,564.0,119,122,503,485,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\74_erase_the_circle_0811-211826.png,circle,581.0,87.0,128,130,499,4,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\75_erase_the_circle_0811-211952.png,circle,335.5,104.0,111,114,262,29,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\76_erase_the_circle_0811-212055.png,circle,349.0,572.0,120,116,271,496,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\77_erase_the_circle_0811-212311.png,circle,560.0,569.0,130,132,477,485,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\78_erase_the_circle_0811-212601.png,circle,561.5,100.5,103,113,492,26,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\79_erase_the_circle_0812-131127.png,circle,443.5,107.5,117,101,367,39,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\80_erase_the_circle_0812-131648.png,circle,404.0,491.5,116,105,328,421,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\81_erase_the_circle_0812-131859.png,circle,406.5,509.0,143,138,317,422,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\82_erase_the_circle_0812-132039.png,circle,393.5,513.5,115,111,318,440,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\83_erase_the_circle_0812-132142.png,circle,402.5,512.0,111,108,329,440,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\84_erase_the_circle_0812-132245.png,circle,401.5,515.0,119,114,324,440,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\85_erase_the_circle_0812-132453.png,circle,594.0,448.0,134,130,509,365,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\86_erase_the_circle_0812-132727.png,circle,575.5,445.0,127,108,494,373,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\87_erase_the_circle_0812-132832.png,circle,582.0,447.0,124,120,502,369,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\88_erase_the_circle_0812-132935.png,circle,583.0,443.5,116,113,507,369,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\89_erase_the_circle_0812-133036.png,circle,585.5,445.5,119,121,508,367,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\90_erase_the_circle_0812-133146.png,circle,410.5,104.0,143,144,321,14,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\91_erase_the_circle_0812-133256.png,circle,414.0,113.5,136,127,328,32,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\92_erase_the_circle_0812-133357.png,circle,414.0,108.0,128,122,332,29,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\93_erase_the_circle_0812-133507.png,circle,410.5,108.5,133,131,326,25,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\94_erase_the_circle_0812-133610.png,circle,574.5,142.0,135,142,489,53,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\95_erase_the_circle_0812-133842.png,circle,582.0,148.0,124,124,502,68,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\96_erase_the_circle_0812-133948.png,circle,582.0,150.5,120,115,504,75,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\97_erase_the_circle_0812-134055.png,circle,577.5,149.0,125,120,497,71,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\98_erase_the_circle_0812-134159.png,circle,582.0,146.5,126,113,501,72,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\circle\99_erase_the_circle_0813-121528.png,circle,412.0,494.0,120,114,334,419,C:\jmbaek\ugrp\candidate_assets\records_105\circle\circle_crop_1_105_manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\1.png,rectangle,437.5,460.0,125,148,357,368,C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\10.png,rectangle,427.0,133.0,108,124,355,53,C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\100.png,rectangle,443.5,467.0,99,108,376,395,C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\101.png,rectangle,321.5,170.0,93,84,257,110,C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\102.png,rectangle,329.5,476.0,99,98,262,409,C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\103.png,rectangle,330.5,454.5,105,113,260,380,C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\104.png,rectangle,313.0,158.0,110,114,240,83,C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\105.png,rectangle,443.5,454.5,115,119,368,377,C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\11.png,rectangle,540.5,446.0,119,112,463,372,C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\12.png,rectangle,451.5,467.5,133,125,367,387,C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\13.png,rectangle,552.5,458.5,139,129,465,376,C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\14.png,rectangle,546.0,455.5,128,123,464,376,C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\15.png,rectangle,430.5,139.0,141,142,342,50,C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\16.png,rectangle,582.0,431.5,140,145,494,341,C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\17.png,rectangle,553.0,111.5,146,149,462,19,C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\18.png,rectangle,559.0,119.5,108,89,487,57,C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\19.png,rectangle,552.0,118.5,118,105,475,48,C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\2.png,rectangle,433.0,468.5,136,141,347,380,C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\20.png,rectangle,549.0,115.0,112,110,475,42,C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\21.png,rectangle,549.0,114.5,128,125,467,34,C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\22.png,rectangle,402.0,117.0,120,116,324,41,C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\23.png,rectangle,400.0,117.5,128,105,318,47,C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\24.png,rectangle,417.5,108.0,139,124,330,28,C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\25.png,rectangle,419.5,108.0,133,120,335,30,C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\manifest.csv
C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\26.png,rectangle,410.0,98.5,132,127,326,17,C:\jmbaek\ugrp\candidate_assets\records_105\rectangle\manifest.csv
