input,output,x,y,w,h,crop_x,crop_y,crop_w,crop_h,score,fill_ratio,approx_vertices,solidity
source_frames\records_105\triangle\17_erase_the_triangle_0727-115632.png,candidate_assets\records_105\triangle\23.png,366,57,116,144,348,39,152,180,5.450862,0.061602,3,0.968274
source_frames\records_105\triangle\18_erase_the_triangle_0727-115747.png,candidate_assets\records_105\triangle\24.png,350,45,104,145,332,27,140,181,2.028395,0.062003,6,0.071167
source_frames\records_105\triangle\19_erase_the_triangle_0727-115901.png,candidate_assets\records_105\triangle\25.png,354,65,105,129,336,47,141,165,5.352312,0.062901,3,0.926927
source_frames\records_105\triangle\20_erase_the_triangle_0727-120025.png,candidate_assets\records_105\triangle\26.png,365,71,110,130,347,53,146,166,5.406177,0.056993,3,0.964219
source_frames\records_105\triangle\21_erase_the_triangle_0802-140242.png,candidate_assets\records_105\triangle\27.png,393,416,92,113,375,398,128,149,5.212358,0.080319,3,0.924268
source_frames\records_105\triangle\22_erase_the_triangle_0802-140354.png,candidate_assets\records_105\triangle\28.png,377,59,91,125,359,41,127,161,5.303935,0.068308,3,0.917474
source_frames\records_105\triangle\23_erase_the_triangle_0802-140502.png,candidate_assets\records_105\triangle\29.png,291,407,87,107,273,389,123,143,5.221527,0.083038,3,0.965185
source_frames\records_105\triangle\24_erase_the_triangle_0802-140614.png,candidate_assets\records_105\triangle\30.png,263,80,100,113,245,62,136,149,5.262486,0.062478,3,0.925216
source_frames\records_105\triangle\25_erase_the_triangle_0802-140722.png,candidate_assets\records_105\triangle\31.png,501,402,94,124,483,384,130,160,5.29405,0.076012,3,0.920638
source_frames\records_105\triangle\26_erase_the_triangle_0802-140827.png,candidate_assets\records_105\triangle\32.png,465,80,90,105,447,62,126,141,5.194592,0.075238,3,0.931771
source_frames\records_105\triangle\27_erase_the_triangle_0802-140935.png,candidate_assets\records_105\triangle\33.png,394,441,108,115,376,423,144,151,5.261167,0.063446,3,0.952143
source_frames\records_105\triangle\28_erase_the_triangle_0802-141044.png,candidate_assets\records_105\triangle\34.png,377,76,100,117,359,58,136,153,5.316931,0.062222,3,0.948127
source_frames\records_105\triangle\29_erase_the_triangle_0802-141851.png,candidate_assets\records_105\triangle\35.png,268,408,105,129,250,390,141,165,5.390933,0.062606,3,0.964071
source_frames\records_105\triangle\30_erase_the_triangle_0802-142006.png,candidate_assets\records_105\triangle\36.png,258,95,100,127,240,77,136,163,5.422015,0.054016,3,0.94488
source_frames\records_105\triangle\31_erase_the_triangle_0802-142116.png,candidate_assets\records_105\triangle\37.png,488,416,93,121,470,398,129,157,5.240619,0.081489,3,0.908968
source_frames\records_105\triangle\32_erase_the_triangle_0802-142225.png,candidate_assets\records_105\triangle\38.png,476,87,96,111,458,69,132,147,5.185168,0.07545,3,0.908054
source_frames\records_105\triangle\33_erase_the_triangle_0802-142338.png,candidate_assets\records_105\triangle\39.png,378,409,103,118,360,391,139,154,5.241866,0.069607,3,0.916627
source_frames\records_105\triangle\34_erase_the_triangle_0802-142550.png,candidate_assets\records_105\triangle\40.png,360,78,85,114,342,60,121,150,5.236935,0.082972,3,0.929258
source_frames\records_105\triangle\35_erase_the_triangle_0802-142707.png,candidate_assets\records_105\triangle\41.png,276,415,90,106,258,397,126,142,5.287376,0.059434,3,0.937449
source_frames\records_105\triangle\36_erase_the_triangle_0802-142815.png,candidate_assets\records_105\triangle\42.png,254,97,97,117,236,79,133,153,5.265046,0.067759,3,0.909826
source_frames\records_105\triangle\37_erase_the_triangle_0802-143049.png,candidate_assets\records_105\triangle\43.png,499,439,93,107,481,421,129,143,5.114841,0.074364,3,0.848129
source_frames\records_105\triangle\38_erase_the_triangle_0802-143457.png,candidate_assets\records_105\triangle\44.png,371,395,95,109,353,377,131,145,5.262807,0.066924,3,0.953603
source_frames\records_105\triangle\39_erase_the_triangle_0802-143602.png,candidate_assets\records_105\triangle\45.png,363,93,96,105,345,75,132,141,5.17082,0.068056,3,0.906153
source_frames\records_105\triangle\40_erase_the_triangle_0802-143708.png,candidate_assets\records_105\triangle\46.png,284,417,102,106,266,399,138,142,5.196796,0.066223,3,0.947866
source_frames\records_105\triangle\41_erase_the_triangle_0802-143815.png,candidate_assets\records_105\triangle\47.png,252,88,88,116,234,70,124,152,5.381666,0.060541,3,0.954529
source_frames\records_105\triangle\42_erase_the_triangle_0802-143926.png,candidate_assets\records_105\triangle\48.png,499,412,81,101,481,394,117,137,5.221036,0.071752,3,0.920236
source_frames\records_105\triangle\43_erase_the_triangle_0802-144141.png,candidate_assets\records_105\triangle\49.png,476,80,95,122,458,62,131,158,5.357634,0.056687,3,0.904372
source_frames\records_105\triangle\44_erase_the_triangle_0802-144300.png,candidate_assets\records_105\triangle\50.png,378,401,114,114,360,383,150,150,5.252581,0.051708,3,0.922661
source_frames\records_105\triangle\45_erase_the_triangle_0802-144407.png,candidate_assets\records_105\triangle\51.png,377,27,105,122,359,9,141,158,5.396894,0.053318,3,0.970292
source_frames\records_105\triangle\46_erase_the_triangle_0802-144514.png,candidate_assets\records_105\triangle\52.png,248,359,97,115,230,341,133,151,5.288771,0.066965,3,0.944
source_frames\records_105\triangle\47_erase_the_triangle_0802-144629.png,candidate_assets\records_105\triangle\53.png,236,159,104,115,218,141,140,151,1.914768,0.059866,6,0.068447
source_frames\records_105\triangle\48_erase_the_triangle_0802-144740.png,candidate_assets\records_105\triangle\54.png,504,392,105,129,486,374,141,165,5.364076,0.049686,3,0.872615
source_frames\records_105\triangle\49_erase_the_triangle_0802-144858.png,candidate_assets\records_105\triangle\55.png,525,93,97,128,507,75,133,164,5.402087,0.060245,3,0.938046
source_frames\records_105\triangle\50_erase_the_triangle_0805-181350.png,candidate_assets\records_105\triangle\56.png,288,410,137,152,270,392,173,188,5.490436,0.04053,3,0.91748
source_frames\records_105\triangle\51_erase_the_triangle_0805-181507.png,candidate_assets\records_105\triangle\57.png,260,64,118,140,242,46,154,176,5.492849,0.043039,3,0.947053
source_frames\records_105\triangle\52_erase_the_triangle_0805-181611.png,candidate_assets\records_105\triangle\58.png,387,399,121,127,369,381,157,163,5.368611,0.046919,3,0.940576
source_frames\records_105\triangle\53_erase_the_triangle_0805-181720.png,candidate_assets\records_105\triangle\59.png,374,47,137,145,356,29,173,181,5.484711,0.034533,3,0.925281
source_frames\records_105\triangle\54_erase_the_triangle_0805-181826.png,candidate_assets\records_105\triangle\60.png,472,399,92,122,454,381,128,158,2.034479,0.0531,6,0.050234
source_frames\records_105\triangle\55_erase_the_triangle_0805-181925.png,candidate_assets\records_105\triangle\61.png,456,68,101,124,438,50,137,160,5.395546,0.054216,3,0.94268
source_frames\records_105\triangle\56_erase_the_triangle_0805-182031.png,candidate_assets\records_105\triangle\62.png,292,414,117,131,274,396,153,167,5.395438,0.051478,3,0.945957
source_frames\records_105\triangle\57_erase_the_triangle_0805-182226.png,candidate_assets\records_105\triangle\63.png,258,84,116,144,240,66,152,180,5.523986,0.039511,3,0.930946
source_frames\records_105\triangle\58_erase_the_triangle_0805-182327.png,candidate_assets\records_105\triangle\64.png,382,418,119,134,364,400,155,170,5.470509,0.044024,3,0.970995
source_frames\records_105\triangle\59_erase_the_triangle_0805-182433.png,candidate_assets\records_105\triangle\65.png,361,29,127,145,343,11,163,181,5.507547,0.043117,3,0.960533
source_frames\records_105\triangle\60_erase_the_triangle_0805-182811.png,candidate_assets\records_105\triangle\66.png,464,15,135,174,446,0,171,207,5.604375,0.041635,3,0.91918
source_frames\records_105\triangle\61_erase_the_triangle_0805-182918.png,candidate_assets\records_105\triangle\67.png,257,422,126,138,239,404,162,174,5.480806,0.040315,3,0.96081
source_frames\records_105\triangle\62_erase_the_triangle_0805-183021.png,candidate_assets\records_105\triangle\68.png,246,57,139,155,228,39,175,191,5.576987,0.034579,3,0.962039
source_frames\records_105\triangle\63_erase_the_triangle_0805-183131.png,candidate_assets\records_105\triangle\69.png,380,404,137,146,362,386,173,182,5.495169,0.041396,3,0.963582
source_frames\records_105\triangle\64_erase_the_triangle_0811-202529.png,candidate_assets\records_105\triangle\70.png,271,55,99,138,253,37,135,174,2.012396,0.06185,6,0.073488
source_frames\records_105\triangle\65_erase_the_triangle_0811-202700.png,candidate_assets\records_105\triangle\71.png,287,447,99,126,269,429,135,162,1.959993,0.076158,6,0.095731
source_frames\records_105\triangle\66_erase_the_triangle_0811-202925.png,candidate_assets\records_105\triangle\72.png,546,489,111,146,528,471,147,182,5.504415,0.055165,3,0.96359
source_frames\records_105\triangle\67_erase_the_triangle_0811-203202.png,candidate_assets\records_105\triangle\73.png,544,34,105,149,526,16,141,185,5.368948,0.058996,3,0.905386
source_frames\records_105\triangle\68_erase_the_triangle_0811-203405.png,candidate_assets\records_105\triangle\74.png,279,15,105,144,261,0,141,177,5.43472,0.061376,3,0.958585
source_frames\records_105\triangle\69_erase_the_triangle_0811-203528.png,candidate_assets\records_105\triangle\75.png,309,500,94,143,291,482,130,179,5.169612,0.066657,3,0.834015
source_frames\records_105\triangle\70_erase_the_triangle_0811-203709.png,candidate_assets\records_105\triangle\76.png,548,489,114,155,530,471,150,191,5.478149,0.063045,3,0.969427
source_frames\records_105\triangle\71_erase_the_triangle_0811-203823.png,candidate_assets\records_105\triangle\77.png,547,28,99,146,529,10,135,182,5.327713,0.064896,3,0.943339
source_frames\records_105\triangle\72_erase_the_triangle_0811-203934.png,candidate_assets\records_105\triangle\78.png,286,0,117,153,268,0,153,171,5.550606,0.050444,3,0.967532
source_frames\records_105\triangle\73_erase_the_triangle_0811-204101.png,candidate_assets\records_105\triangle\79.png,287,507,100,139,269,489,136,175,5.350855,0.068561,3,0.939621
source_frames\records_105\triangle\74_erase_the_triangle_0811-204219.png,candidate_assets\records_105\triangle\80.png,541,517,106,136,523,499,142,172,5.457709,0.058269,3,0.970771
source_frames\records_105\triangle\75_erase_the_triangle_0811-204351.png,candidate_assets\records_105\triangle\81.png,501,4,112,155,483,0,148,177,5.496324,0.055876,3,0.972352
source_frames\records_105\triangle\76_erase_the_triangle_0811-204807.png,candidate_assets\records_105\triangle\82.png,270,42,124,144,252,24,160,180,5.488278,0.051467,3,0.979803
source_frames\records_105\triangle\77_erase_the_triangle_0811-204916.png,candidate_assets\records_105\triangle\83.png,290,483,121,163,272,465,157,199,2.144277,0.056888,6,0.071001
source_frames\records_105\triangle\78_erase_the_triangle_0811-205231.png,candidate_assets\records_105\triangle\84.png,545,509,97,131,527,491,133,167,5.33578,0.073267,3,0.938579
source_frames\records_105\triangle\79_erase_the_triangle_0811-205711.png,candidate_assets\records_105\triangle\85.png,480,18,138,169,462,0,174,205,5.544131,0.052697,3,0.943415
source_frames\records_105\triangle\80_erase_the_triangle_0812-140840.png,candidate_assets\records_105\triangle\86.png,360,418,129,127,342,400,165,163,5.256884,0.065495,3,0.961644
source_frames\records_105\triangle\81_erase_the_triangle_0812-140937.png,candidate_assets\records_105\triangle\87.png,372,413,109,120,354,395,145,156,5.221081,0.075153,3,0.935948
source_frames\records_105\triangle\82_erase_the_triangle_0812-141041.png,candidate_assets\records_105\triangle\88.png,358,423,111,114,340,405,147,150,5.19994,0.073732,3,0.965359
source_frames\records_105\triangle\83_erase_the_triangle_0812-141140.png,candidate_assets\records_105\triangle\89.png,367,411,106,121,349,393,142,157,1.90406,0.071339,6,0.079098
source_frames\records_105\triangle\84_erase_the_triangle_0812-141238.png,candidate_assets\records_105\triangle\90.png,364,420,118,124,346,402,154,160,5.272007,0.070394,3,0.971742
source_frames\records_105\triangle\85_erase_the_triangle_0812-141349.png,candidate_assets\records_105\triangle\91.png,524,347,121,138,506,329,157,174,5.354676,0.066715,3,0.949675
source_frames\records_105\triangle\86_erase_the_triangle_0812-141452.png,candidate_assets\records_105\triangle\92.png,514,360,113,109,496,342,149,145,5.07998,0.076967,3,0.932281
source_frames\records_105\triangle\87_erase_the_triangle_0812-141548.png,candidate_assets\records_105\triangle\93.png,509,350,120,129,491,332,156,165,5.354239,0.059625,3,0.971059
source_frames\records_105\triangle\88_erase_the_triangle_0812-141647.png,candidate_assets\records_105\triangle\94.png,511,360,121,137,493,342,157,173,5.301728,0.069132,3,0.915215
source_frames\records_105\triangle\89_erase_the_triangle_0812-141837.png,candidate_assets\records_105\triangle\95.png,531,355,114,145,513,337,150,181,5.395257,0.072777,3,0.956886
source_frames\records_105\triangle\90_erase_the_triangle_0812-141949.png,candidate_assets\records_105\triangle\96.png,512,70,131,154,494,52,167,190,5.510569,0.051304,3,0.963891
source_frames\records_105\triangle\91_erase_the_triangle_0812-142152.png,candidate_assets\records_105\triangle\97.png,483,85,129,131,465,67,165,167,5.305362,0.06095,3,0.948693
source_frames\records_105\triangle\92_erase_the_triangle_0812-142437.png,candidate_assets\records_105\triangle\98.png,482,90,122,128,464,72,158,164,5.322885,0.060195,3,0.957753
source_frames\records_105\triangle\93_erase_the_triangle_0812-142543.png,candidate_assets\records_105\triangle\99.png,476,89,120,133,458,71,156,169,5.354737,0.059712,3,0.944013
source_frames\records_105\triangle\94_erase_the_triangle_0812-142639.png,candidate_assets\records_105\triangle\100.png,493,68,121,133,475,50,157,169,5.385836,0.059715,3,0.978803
source_frames\records_105\triangle\95_erase_the_triangle_0812-142740.png,candidate_assets\records_105\triangle\101.png,340,30,139,170,322,12,175,206,5.590039,0.046339,3,0.954768
source_frames\records_105\triangle\96_erase_the_triangle_0812-142839.png,candidate_assets\records_105\triangle\102.png,343,57,123,129,325,39,159,165,5.336467,0.055713,3,0.945444
source_frames\records_105\triangle\97_erase_the_triangle_0812-142935.png,candidate_assets\records_105\triangle\103.png,355,51,116,124,337,33,152,160,5.277195,0.067645,3,0.954748
source_frames\records_105\triangle\98_erase_the_triangle_0812-143034.png,candidate_assets\records_105\triangle\104.png,365,68,121,118,347,50,157,154,5.237779,0.058832,3,0.953516
source_frames\records_105\triangle\99_erase_the_triangle_0812-143136.png,candidate_assets\records_105\triangle\105.png,367,63,128,128,349,45,164,164,5.296384,0.057007,3,0.939111
