input,output,x,y,w,h,crop_x,crop_y,crop_w,crop_h,score,fill_ratio,approx_vertices
source_frames\records_105\rectangle\103_erase_the_rectangle_0813-214351.png,candidate_assets\records_105\rectangle\13.png,483,394,139,129,465,376,175,165,4.155403,0.037142,8
source_frames\records_105\rectangle\104_erase_the_rectangle_0813-214715.png,candidate_assets\records_105\rectangle\14.png,482,394,128,123,464,376,164,159,4.126596,0.053036,4
source_frames\records_105\rectangle\105_erase_the_rectangle_0813-214822.png,candidate_assets\records_105\rectangle\15.png,360,68,141,142,342,50,177,178,4.323698,0.040905,4
source_frames\records_105\rectangle\10_erase_the_rectangle_0727-121732.png,candidate_assets\records_105\rectangle\16.png,512,359,140,145,494,341,176,181,4.109151,0.072069,4
source_frames\records_105\rectangle\11_erase_the_rectangle_0727-121900.png,candidate_assets\records_105\rectangle\17.png,480,37,146,149,462,19,182,185,4.225922,0.05907,4
source_frames\records_105\rectangle\12_erase_the_rectangle_0727-122053.png,candidate_assets\records_105\rectangle\18.png,505,75,108,89,487,57,144,125,3.374871,0.108094,4
source_frames\records_105\rectangle\13_erase_the_rectangle_0727-122347.png,candidate_assets\records_105\rectangle\19.png,493,66,118,105,475,48,154,141,3.677615,0.095722,4
source_frames\records_105\rectangle\14_erase_the_rectangle_0727-122516.png,candidate_assets\records_105\rectangle\20.png,493,60,112,110,475,42,148,146,3.976405,0.082062,8
source_frames\records_105\rectangle\15_erase_the_rectangle_0727-125938.png,candidate_assets\records_105\rectangle\21.png,485,52,128,125,467,34,164,161,4.035269,0.0795,4
source_frames\records_105\rectangle\16_erase_the_rectangle_0727-130104.png,candidate_assets\records_105\rectangle\22.png,342,59,120,116,324,41,156,152,3.971657,0.081106,4
source_frames\records_105\rectangle\17_erase_the_rectangle_0727-130220.png,candidate_assets\records_105\rectangle\23.png,336,65,128,105,318,47,164,141,3.547224,0.083705,8
source_frames\records_105\rectangle\18_erase_the_rectangle_0727-130339.png,candidate_assets\records_105\rectangle\24.png,348,46,139,124,330,28,175,160,3.845686,0.07786,8
source_frames\records_105\rectangle\19_erase_the_rectangle_0727-130455.png,candidate_assets\records_105\rectangle\25.png,353,48,133,120,335,30,169,156,3.852328,0.078509,4
source_frames\records_105\rectangle\20_erase_the_rectangle_0727-130630.png,candidate_assets\records_105\rectangle\26.png,344,35,132,127,326,17,168,163,4.030635,0.075817,4
source_frames\records_105\rectangle\21_erase_the_rectangle_0804-180439.png,candidate_assets\records_105\rectangle\27.png,377,51,117,115,359,33,153,151,4.008045,0.079896,4
source_frames\records_105\rectangle\22_erase_the_rectangle_0804-180555.png,candidate_assets\records_105\rectangle\28.png,382,419,115,114,364,401,151,150,4.067752,0.070633,4
source_frames\records_105\rectangle\23_erase_the_rectangle_0804-180705.png,candidate_assets\records_105\rectangle\29.png,262,83,109,113,244,65,145,149,3.901491,0.089389,4
source_frames\records_105\rectangle\24_erase_the_rectangle_0804-180817.png,candidate_assets\records_105\rectangle\30.png,259,408,121,118,241,390,157,154,3.999931,0.080614,4
source_frames\records_105\rectangle\25_erase_the_rectangle_0804-180929.png,candidate_assets\records_105\rectangle\31.png,525,66,116,127,507,48,152,163,3.811006,0.092384,4
source_frames\records_105\rectangle\26_erase_the_rectangle_0804-181039.png,candidate_assets\records_105\rectangle\32.png,504,418,119,121,486,400,155,157,4.041969,0.076533,4
source_frames\records_105\rectangle\27_erase_the_rectangle_0804-181153.png,candidate_assets\records_105\rectangle\33.png,365,28,120,127,347,10,156,163,3.973349,0.075591,4
source_frames\records_105\rectangle\28_erase_the_rectangle_0804-181404.png,candidate_assets\records_105\rectangle\34.png,255,417,116,116,237,399,152,152,4.017349,0.085761,4
source_frames\records_105\rectangle\29_erase_the_rectangle_0804-181522.png,candidate_assets\records_105\rectangle\35.png,242,81,118,127,224,63,154,163,3.978135,0.066796,4
source_frames\records_105\rectangle\30_erase_the_rectangle_0804-181742.png,candidate_assets\records_105\rectangle\36.png,454,69,94,109,436,51,130,145,3.599778,0.097306,4
source_frames\records_105\rectangle\31_erase_the_rectangle_0804-181848.png,candidate_assets\records_105\rectangle\37.png,389,468,111,101,371,450,147,137,3.677553,0.102578,4
source_frames\records_105\rectangle\32_erase_the_rectangle_0804-181955.png,candidate_assets\records_105\rectangle\38.png,365,46,115,115,347,28,151,151,3.953839,0.097694,4
source_frames\records_105\rectangle\33_erase_the_rectangle_0804-182109.png,candidate_assets\records_105\rectangle\39.png,292,61,116,121,274,43,152,157,3.97914,0.076874,8
source_frames\records_105\rectangle\34_erase_the_rectangle_0804-182219.png,candidate_assets\records_105\rectangle\40.png,255,397,110,132,237,379,146,168,3.765019,0.064945,4
source_frames\records_105\rectangle\35_erase_the_rectangle_0804-182321.png,candidate_assets\records_105\rectangle\41.png,233,49,127,137,215,31,163,173,4.094473,0.049601,4
source_frames\records_105\rectangle\36_erase_the_rectangle_0804-182432.png,candidate_assets\records_105\rectangle\42.png,387,413,126,137,369,395,162,173,4.076667,0.049473,4
source_frames\records_105\rectangle\37_erase_the_rectangle_0804-182535.png,candidate_assets\records_105\rectangle\43.png,381,91,112,109,363,73,148,145,4.093051,0.054227,4
source_frames\records_105\rectangle\38_erase_the_rectangle_0804-182742.png,candidate_assets\records_105\rectangle\44.png,495,65,103,107,477,47,139,143,4.016515,0.060975,8
source_frames\records_105\rectangle\39_erase_the_rectangle_0804-182849.png,candidate_assets\records_105\rectangle\45.png,265,402,112,113,247,384,148,149,4.084767,0.065661,4
source_frames\records_105\rectangle\40_erase_the_rectangle_0804-182952.png,candidate_assets\records_105\rectangle\46.png,245,79,116,132,227,61,152,168,3.952293,0.050287,4
source_frames\records_105\rectangle\41_erase_the_rectangle_0804-183207.png,candidate_assets\records_105\rectangle\47.png,391,426,123,94,373,408,159,130,3.341473,0.080609,4
source_frames\records_105\rectangle\42_erase_the_rectangle_0804-183421.png,candidate_assets\records_105\rectangle\48.png,470,398,117,127,452,380,153,163,3.965445,0.065415,4
source_frames\records_105\rectangle\43_erase_the_rectangle_0804-183535.png,candidate_assets\records_105\rectangle\49.png,460,65,146,135,442,47,182,171,4.079251,0.055403,4
source_frames\records_105\rectangle\44_erase_the_rectangle_0804-183646.png,candidate_assets\records_105\rectangle\50.png,271,388,111,121,253,370,147,157,3.937756,0.064776,4
source_frames\records_105\rectangle\45_erase_the_rectangle_0804-183848.png,candidate_assets\records_105\rectangle\51.png,252,76,118,137,234,58,154,173,3.896875,0.05592,4
source_frames\records_105\rectangle\46_erase_the_rectangle_0804-183957.png,candidate_assets\records_105\rectangle\52.png,389,383,130,134,371,365,166,170,4.147532,0.058553,4
source_frames\records_105\rectangle\47_erase_the_rectangle_0811-195837.png,candidate_assets\records_105\rectangle\53.png,467,84,90,109,449,66,126,145,3.467459,0.106014,4
source_frames\records_105\rectangle\48_erase_the_rectangle_0811-195957.png,candidate_assets\records_105\rectangle\54.png,287,75,103,105,269,57,139,141,3.941045,0.083403,4
source_frames\records_105\rectangle\49_erase_the_rectangle_0811-200158.png,candidate_assets\records_105\rectangle\55.png,356,409,97,102,338,391,133,138,3.72521,0.109966,4
source_frames\records_105\rectangle\50_erase_the_rectangle_0811-200322.png,candidate_assets\records_105\rectangle\56.png,523,404,90,92,505,386,126,128,3.697603,0.121014,4
source_frames\records_105\rectangle\51_erase_the_rectangle_0811-200442.png,candidate_assets\records_105\rectangle\57.png,350,420,121,119,332,402,157,155,4.039677,0.07688,4
source_frames\records_105\rectangle\52_erase_the_rectangle_0811-200557.png,candidate_assets\records_105\rectangle\58.png,525,417,99,95,507,399,135,131,3.796857,0.096863,4
source_frames\records_105\rectangle\53_erase_the_rectangle_0811-200713.png,candidate_assets\records_105\rectangle\59.png,514,94,96,100,496,76,132,136,3.730377,0.111771,4
source_frames\records_105\rectangle\54_erase_the_rectangle_0811-200827.png,candidate_assets\records_105\rectangle\60.png,308,91,104,97,290,73,140,133,3.757395,0.09427,8
source_frames\records_105\rectangle\55_erase_the_rectangle_0811-200954.png,candidate_assets\records_105\rectangle\61.png,319,424,98,99,301,406,134,135,3.819203,0.107504,4
source_frames\records_105\rectangle\56_erase_the_rectangle_0811-201149.png,candidate_assets\records_105\rectangle\62.png,508,422,103,103,490,404,139,139,3.901291,0.098973,4
source_frames\records_105\rectangle\57_erase_the_rectangle_0811-201351.png,candidate_assets\records_105\rectangle\63.png,499,47,114,123,481,29,150,159,3.864578,0.085508,4
source_frames\records_105\rectangle\58_erase_the_rectangle_0811-201513.png,candidate_assets\records_105\rectangle\64.png,284,77,111,99,266,59,147,135,3.626014,0.102466,4
source_frames\records_105\rectangle\59_erase_the_rectangle_0811-201631.png,candidate_assets\records_105\rectangle\65.png,293,419,120,119,275,401,156,155,3.969947,0.094188,4
source_frames\records_105\rectangle\60_erase_the_rectangle_0811-201750.png,candidate_assets\records_105\rectangle\66.png,513,431,94,84,495,413,130,120,3.468214,0.123354,4
source_frames\records_105\rectangle\61_erase_the_rectangle_0811-201909.png,candidate_assets\records_105\rectangle\67.png,503,66,117,115,485,48,153,151,3.924805,0.096544,4
source_frames\records_105\rectangle\62_erase_the_rectangle_0811-202035.png,candidate_assets\records_105\rectangle\68.png,288,72,113,106,270,54,149,142,3.815607,0.092002,4
source_frames\records_105\rectangle\63_erase_the_rectangle_0812-134309.png,candidate_assets\records_105\rectangle\69.png,369,418,128,110,351,400,164,146,3.606813,0.097798,4
source_frames\records_105\rectangle\64_erase_the_rectangle_0812-134407.png,candidate_assets\records_105\rectangle\70.png,371,404,127,123,353,386,163,159,3.976566,0.086294,8
source_frames\records_105\rectangle\65_erase_the_rectangle_0812-134509.png,candidate_assets\records_105\rectangle\71.png,371,425,124,111,353,407,160,147,3.73461,0.091616,4
source_frames\records_105\rectangle\66_erase_the_rectangle_0812-134613.png,candidate_assets\records_105\rectangle\72.png,359,414,137,123,341,396,173,159,3.835963,0.081894,4
source_frames\records_105\rectangle\67_erase_the_rectangle_0812-134714.png,candidate_assets\records_105\rectangle\73.png,372,425,126,113,354,407,162,149,3.736765,0.093552,4
source_frames\records_105\rectangle\68_erase_the_rectangle_0812-134832.png,candidate_assets\records_105\rectangle\74.png,546,393,112,120,528,375,148,156,3.828314,0.093824,4
source_frames\records_105\rectangle\69_erase_the_rectangle_0812-134940.png,candidate_assets\records_105\rectangle\75.png,539,417,109,91,521,399,145,127,3.41301,0.108277,8
source_frames\records_105\rectangle\70_erase_the_rectangle_0812-135039.png,candidate_assets\records_105\rectangle\76.png,526,408,103,103,508,390,139,139,3.868771,0.105476,4
source_frames\records_105\rectangle\71_erase_the_rectangle_0812-135142.png,candidate_assets\records_105\rectangle\77.png,533,381,99,110,515,363,135,146,3.670209,0.102112,4
source_frames\records_105\rectangle\72_erase_the_rectangle_0812-135243.png,candidate_assets\records_105\rectangle\78.png,510,390,139,128,492,372,175,164,3.922782,0.07953,4
source_frames\records_105\rectangle\73_erase_the_rectangle_0812-135347.png,candidate_assets\records_105\rectangle\79.png,497,90,134,120,479,72,170,156,3.834859,0.078669,4
source_frames\records_105\rectangle\74_erase_the_rectangle_0812-135449.png,candidate_assets\records_105\rectangle\80.png,512,77,135,131,494,59,171,167,4.089088,0.070738,4
source_frames\records_105\rectangle\75_erase_the_rectangle_0812-135911.png,candidate_assets\records_105\rectangle\81.png,504,68,126,122,486,50,162,158,4.027974,0.075137,4
source_frames\records_105\rectangle\76_erase_the_rectangle_0812-140017.png,candidate_assets\records_105\rectangle\82.png,517,65,121,118,499,47,157,154,3.996779,0.081244,4
source_frames\records_105\rectangle\77_erase_the_rectangle_0812-140128.png,candidate_assets\records_105\rectangle\83.png,494,61,149,143,476,43,185,179,4.106578,0.071901,4
source_frames\records_105\rectangle\78_erase_the_rectangle_0812-140235.png,candidate_assets\records_105\rectangle\84.png,358,59,144,117,340,41,180,153,3.623136,0.073065,4
source_frames\records_105\rectangle\79_erase_the_rectangle_0812-140333.png,candidate_assets\records_105\rectangle\85.png,353,53,147,126,335,35,183,162,3.795489,0.071159,4
source_frames\records_105\rectangle\80_erase_the_rectangle_0812-140525.png,candidate_assets\records_105\rectangle\86.png,354,55,147,120,336,37,183,156,3.657514,0.070805,4
source_frames\records_105\rectangle\81_erase_the_rectangle_0812-140629.png,candidate_assets\records_105\rectangle\87.png,349,44,139,129,331,26,175,165,3.980845,0.072054,8
source_frames\records_105\rectangle\82_erase_the_rectangle_0812-140734.png,candidate_assets\records_105\rectangle\88.png,345,48,151,127,327,30,187,163,3.78564,0.064974,4
source_frames\records_105\rectangle\83_erase_the_rectangle_0813-122336.png,candidate_assets\records_105\rectangle\89.png,367,436,136,112,349,418,172,148,3.651948,0.07005,4
source_frames\records_105\rectangle\84_erase_the_rectangle_0813-122515.png,candidate_assets\records_105\rectangle\90.png,545,418,143,128,527,400,179,164,3.858293,0.079928,4
source_frames\records_105\rectangle\85_erase_the_rectangle_0813-122623.png,candidate_assets\records_105\rectangle\91.png,509,38,148,148,491,20,184,184,4.275449,0.058756,4
source_frames\records_105\rectangle\86_erase_the_rectangle_0813-122741.png,candidate_assets\records_105\rectangle\92.png,368,45,137,136,350,27,173,172,4.128648,0.075945,4
source_frames\records_105\rectangle\87_erase_the_rectangle_0813-182555.png,candidate_assets\records_105\rectangle\93.png,376,78,104,113,358,60,140,149,3.921613,0.063819,4
source_frames\records_105\rectangle\88_erase_the_rectangle_0813-182823.png,candidate_assets\records_105\rectangle\94.png,396,424,105,106,378,406,141,142,4.105104,0.055975,4
source_frames\records_105\rectangle\89_erase_the_rectangle_0813-183401.png,candidate_assets\records_105\rectangle\95.png,275,97,101,106,257,79,137,142,3.934043,0.072016,4
source_frames\records_105\rectangle\90_erase_the_rectangle_0813-183628.png,candidate_assets\records_105\rectangle\96.png,303,421,102,116,285,403,138,152,3.822582,0.065669,8
source_frames\records_105\rectangle\91_erase_the_rectangle_0813-184018.png,candidate_assets\records_105\rectangle\97.png,482,113,86,92,464,95,122,128,3.733322,0.093402,4
source_frames\records_105\rectangle\92_erase_the_rectangle_0813-184121.png,candidate_assets\records_105\rectangle\98.png,460,428,93,97,442,410,129,133,3.890006,0.077042,4
source_frames\records_105\rectangle\93_erase_the_rectangle_0813-184309.png,candidate_assets\records_105\rectangle\99.png,378,102,98,97,360,84,134,133,3.962705,0.077951,4
source_frames\records_105\rectangle\94_erase_the_rectangle_0813-184458.png,candidate_assets\records_105\rectangle\100.png,394,413,99,108,376,395,135,144,3.862438,0.070333,4
source_frames\records_105\rectangle\95_erase_the_rectangle_0813-184626.png,candidate_assets\records_105\rectangle\101.png,275,128,93,84,257,110,129,120,3.695325,0.082693,4
source_frames\records_105\rectangle\96_erase_the_rectangle_0813-184733.png,candidate_assets\records_105\rectangle\102.png,280,427,99,98,262,409,135,134,4.00401,0.070501,4
source_frames\records_105\rectangle\97_erase_the_rectangle_0813-185137.png,candidate_assets\records_105\rectangle\103.png,278,398,105,113,260,380,141,149,3.970218,0.058407,4
source_frames\records_105\rectangle\98_erase_the_rectangle_0813-185258.png,candidate_assets\records_105\rectangle\104.png,258,101,110,114,240,83,146,150,4.14078,0.042424,8
source_frames\records_105\rectangle\99_erase_the_rectangle_0813-185409.png,candidate_assets\records_105\rectangle\105.png,386,395,115,119,368,377,151,155,4.140517,0.046913,4
