input,output,x,y,w,h,crop_x,crop_y,crop_w,crop_h,score,fill_ratio,circularity
source_frames\records_105\circle\61_erase_the_circle_0805-185133.png,candidate_assets\records_105\circle\61_erase_the_circle_0805-185133.png,337,4,151,153,319,0,187,175,5.022571,0.046704,0.887381
source_frames\records_105\circle\62_erase_the_circle_0805-185457.png,candidate_assets\records_105\circle\62_erase_the_circle_0805-185457.png,246,37,154,154,228,19,190,190,5.044086,0.053297,0.892484
source_frames\records_105\circle\63_erase_the_circle_0811-210132.png,candidate_assets\records_105\circle\63_erase_the_circle_0811-210132.png,530,410,125,127,512,392,161,163,4.843056,0.067906,0.892702
source_frames\records_105\circle\64_erase_the_circle_0811-210236.png,candidate_assets\records_105\circle\64_erase_the_circle_0811-210236.png,531,57,119,115,513,39,155,151,4.662968,0.084034,0.87318
source_frames\records_105\circle\65_erase_the_circle_0811-210340.png,candidate_assets\records_105\circle\65_erase_the_circle_0811-210340.png,286,69,115,107,268,51,151,143,4.601318,0.080861,0.891379
source_frames\records_105\circle\66_erase_the_circle_0811-210449.png,candidate_assets\records_105\circle\66_erase_the_circle_0811-210449.png,322,435,108,114,304,417,144,150,4.635564,0.082765,0.888251
source_frames\records_105\circle\67_erase_the_circle_0811-210646.png,candidate_assets\records_105\circle\67_erase_the_circle_0811-210646.png,528,395,120,124,510,377,156,160,4.746758,0.077688,0.890244
source_frames\records_105\circle\68_erase_the_circle_0811-210755.png,candidate_assets\records_105\circle\68_erase_the_circle_0811-210755.png,510,102,102,95,492,84,138,131,4.520153,0.089474,0.890016
source_frames\records_105\circle\69_erase_the_circle_0811-210901.png,candidate_assets\records_105\circle\69_erase_the_circle_0811-210901.png,290,76,103,111,272,58,139,147,4.574801,0.083793,0.888981
source_frames\records_105\circle\70_erase_the_circle_0811-211009.png,candidate_assets\records_105\circle\70_erase_the_circle_0811-211009.png,320,454,123,110,302,436,159,146,4.546166,0.077014,0.893755
source_frames\records_105\circle\71_erase_the_circle_0811-211403.png,candidate_assets\records_105\circle\71_erase_the_circle_0811-211403.png,282,53,107,109,264,35,143,145,4.680403,0.084455,0.881691
source_frames\records_105\circle\72_erase_the_circle_0811-211510.png,candidate_assets\records_105\circle\72_erase_the_circle_0811-211510.png,301,529,106,100,283,511,142,136,4.543069,0.093113,0.885453
source_frames\records_105\circle\73_erase_the_circle_0811-211620.png,candidate_assets\records_105\circle\73_erase_the_circle_0811-211620.png,521,503,119,122,503,485,155,158,4.785604,0.067089,0.882724
source_frames\records_105\circle\74_erase_the_circle_0811-211826.png,candidate_assets\records_105\circle\74_erase_the_circle_0811-211826.png,517,22,128,130,499,4,164,166,4.856981,0.066526,0.890774
source_frames\records_105\circle\75_erase_the_circle_0811-211952.png,candidate_assets\records_105\circle\75_erase_the_circle_0811-211952.png,280,47,111,114,262,29,147,150,4.702818,0.086218,0.896699
source_frames\records_105\circle\76_erase_the_circle_0811-212055.png,candidate_assets\records_105\circle\76_erase_the_circle_0811-212055.png,289,514,120,116,271,496,156,152,4.707487,0.082687,0.890523
source_frames\records_105\circle\77_erase_the_circle_0811-212311.png,candidate_assets\records_105\circle\77_erase_the_circle_0811-212311.png,495,503,130,132,477,485,166,168,4.828591,0.073718,0.886883
source_frames\records_105\circle\78_erase_the_circle_0811-212601.png,candidate_assets\records_105\circle\78_erase_the_circle_0811-212601.png,510,44,103,113,492,26,139,149,4.536098,0.080333,0.879134
source_frames\records_105\circle\79_erase_the_circle_0812-131127.png,candidate_assets\records_105\circle\79_erase_the_circle_0812-131127.png,385,57,117,101,367,39,153,137,4.379879,0.080816,0.875756
source_frames\records_105\circle\80_erase_the_circle_0812-131648.png,candidate_assets\records_105\circle\80_erase_the_circle_0812-131648.png,346,439,116,105,328,421,152,141,4.521985,0.080952,0.885736
source_frames\records_105\circle\81_erase_the_circle_0812-131859.png,candidate_assets\records_105\circle\81_erase_the_circle_0812-131859.png,335,440,143,138,317,422,179,174,4.892151,0.057819,0.892561
source_frames\records_105\circle\82_erase_the_circle_0812-132039.png,candidate_assets\records_105\circle\82_erase_the_circle_0812-132039.png,336,458,115,111,318,440,151,147,4.665607,0.083823,0.883024
source_frames\records_105\circle\83_erase_the_circle_0812-132142.png,candidate_assets\records_105\circle\83_erase_the_circle_0812-132142.png,347,458,111,108,329,440,147,144,4.666954,0.082249,0.87806
source_frames\records_105\circle\84_erase_the_circle_0812-132245.png,candidate_assets\records_105\circle\84_erase_the_circle_0812-132245.png,342,458,119,114,324,440,155,150,4.68866,0.076662,0.882283
source_frames\records_105\circle\85_erase_the_circle_0812-132453.png,candidate_assets\records_105\circle\85_erase_the_circle_0812-132453.png,527,383,134,130,509,365,170,166,4.82313,0.069346,0.891025
source_frames\records_105\circle\86_erase_the_circle_0812-132727.png,candidate_assets\records_105\circle\86_erase_the_circle_0812-132727.png,512,391,127,108,494,373,163,144,4.43029,0.072033,0.887444
source_frames\records_105\circle\87_erase_the_circle_0812-132832.png,candidate_assets\records_105\circle\87_erase_the_circle_0812-132832.png,520,387,124,120,502,369,160,156,4.773782,0.070699,0.890853
source_frames\records_105\circle\88_erase_the_circle_0812-132935.png,candidate_assets\records_105\circle\88_erase_the_circle_0812-132935.png,525,387,116,113,507,369,152,149,4.711729,0.081324,0.887754
source_frames\records_105\circle\89_erase_the_circle_0812-133036.png,candidate_assets\records_105\circle\89_erase_the_circle_0812-133036.png,526,385,119,121,508,367,155,157,4.804164,0.073061,0.895886
source_frames\records_105\circle\90_erase_the_circle_0812-133146.png,candidate_assets\records_105\circle\90_erase_the_circle_0812-133146.png,339,32,143,144,321,14,179,180,4.9521,0.064831,0.897656
source_frames\records_105\circle\91_erase_the_circle_0812-133256.png,candidate_assets\records_105\circle\91_erase_the_circle_0812-133256.png,346,50,136,127,328,32,172,163,4.723567,0.066524,0.881467
source_frames\records_105\circle\92_erase_the_circle_0812-133357.png,candidate_assets\records_105\circle\92_erase_the_circle_0812-133357.png,350,47,128,122,332,29,164,158,4.755502,0.068904,0.890124
source_frames\records_105\circle\93_erase_the_circle_0812-133507.png,candidate_assets\records_105\circle\93_erase_the_circle_0812-133507.png,344,43,133,131,326,25,169,167,4.856818,0.066349,0.884451
source_frames\records_105\circle\94_erase_the_circle_0812-133610.png,candidate_assets\records_105\circle\94_erase_the_circle_0812-133610.png,507,71,135,142,489,53,171,178,4.82349,0.061398,0.884221
source_frames\records_105\circle\95_erase_the_circle_0812-133842.png,candidate_assets\records_105\circle\95_erase_the_circle_0812-133842.png,520,86,124,124,502,68,160,160,4.829965,0.076743,0.890007
source_frames\records_105\circle\96_erase_the_circle_0812-133948.png,candidate_assets\records_105\circle\96_erase_the_circle_0812-133948.png,522,93,120,115,504,75,156,151,4.669689,0.078696,0.87456
source_frames\records_105\circle\97_erase_the_circle_0812-134055.png,candidate_assets\records_105\circle\97_erase_the_circle_0812-134055.png,515,89,125,120,497,71,161,156,4.703423,0.074333,0.871276
source_frames\records_105\circle\98_erase_the_circle_0812-134159.png,candidate_assets\records_105\circle\98_erase_the_circle_0812-134159.png,519,90,126,113,501,72,162,149,4.567502,0.074659,0.890806
source_frames\records_105\circle\99_erase_the_circle_0813-121528.png,candidate_assets\records_105\circle\99_erase_the_circle_0813-121528.png,352,437,120,114,334,419,156,150,4.669063,0.077997,0.883927
